Source,Target,weight,Count,Year
13,725,8,8,2022
13,910,2,2,2021
13,608,1,1,2020
66,608,1,1,2020
725,66,2,2,2023
13,887,1,1,2019
13,377,1,1,2019
13,150,1,1,2018
13,795,1,1,2018
13,1332,1,1,2018
14,418,1,1,2021
14,150,1,1,2021
418,150,1,1,2021
14,331,1,1,2021
418,331,2,2,2021
150,331,1,1,2021
15,546,9,9,2023
15,366,13,13,2023
546,366,3,3,2023
15,291,2,2,2020
366,291,3,3,2020
15,184,1,1,2019
16,1230,1,1,2023
16,899,2,2,2022
16,481,2,2,2022
899,481,7,7,2023
16,19,1,1,2022
16,24,1,1,2020
16,106,2,2,2020
16,174,1,1,2020
16,921,1,1,2019
16,399,1,1,2019
17,224,1,1,2018
18,303,1,1,2023
18,20,1,1,2019
19,1755,2,2,2023
19,4,1,1,2023
19,539,2,2,2023
19,252,5,5,2022
19,1123,1,1,2022
19,498,1,1,2021
19,93,1,1,2021
19,787,1,1,2018
252,787,1,1,2018
20,879,1,1,2023
20,1701,3,3,2021
20,1488,4,4,2020
20,227,2,2,2020
1488,1701,1,1,2019
20,94,1,1,2018
21,470,1,1,2023
21,405,3,3,2023
21,24,1,1,2022
21,230,1,1,2021
21,216,1,1,2021
21,399,1,1,2021
21,1366,1,1,2020
22,71,1,1,2023
22,35,1,1,2023
71,35,1,1,2023
22,135,1,1,2021
23,38,2,2,2023
23,64,5,5,2022
24,123,2,2,2022
24,278,1,1,2021
24,345,1,1,2021
24,968,1,1,2018
25,1,1,1,2022
25,58,5,5,2022
25,242,5,5,2021
58,242,1,1,2021
25,522,1,1,2021
25,414,2,2,2020
414,58,1,1,2020
25,1128,2,2,2020
25,114,1,1,2020
25,973,1,1,2018
26,87,6,6,2023
26,752,2,2,2023
87,752,1,1,2023
26,107,1,1,2023
26,259,2,2,2022
87,259,1,1,2022
26,159,1,1,2021
26,1,3,3,2019
27,233,1,1,2023
27,525,1,1,2018
28,761,2,2,2023
28,787,4,4,2023
761,787,5,5,2023
28,87,5,5,2022
28,584,3,3,2021
28,535,2,2,2020
28,714,1,1,2019
28,182,1,1,2018
28,1016,1,1,2018
87,1016,1,1,2018
29,1535,1,1,2021
30,322,3,3,2023
30,1176,2,2,2023
322,1176,3,3,2023
30,1187,2,2,2022
30,147,2,2,2022
31,227,3,3,2023
31,224,1,1,2020
31,1488,2,2,2020
31,86,1,1,2018
32,646,1,1,2022
32,1281,2,2,2022
646,1281,12,12,2023
32,338,3,3,2020
33,405,1,1,2021
33,84,2,2,2021
33,146,1,1,2019
33,1476,1,1,2019
146,1476,4,4,2022
33,408,1,1,2018
33,927,1,1,2018
34,1015,1,1,2021
34,67,1,1,2021
34,245,1,1,2021
35,36,6,6,2023
35,258,1,1,2023
35,1817,2,2,2023
35,265,1,1,2022
35,377,1,1,2022
35,64,1,1,2020
35,264,2,2,2020
35,204,2,2,2019
36,664,1,1,2023
36,651,1,1,2022
36,250,2,2,2019
38,64,3,3,2023
38,124,2,2,2023
64,124,2,2,2023
38,102,3,3,2022
38,128,1,1,2022
38,114,1,1,2022
64,114,1,1,2022
124,114,1,1,2022
38,1338,3,3,2022
38,241,3,3,2021
1338,23,8,8,2023
38,109,1,1,2018
39,446,10,10,2023
230,446,10,10,2023
39,745,3,3,2023
39,1818,2,2,2019
40,699,2,2,2022
40,14,2,2,2022
699,14,2,2,2022
40,159,1,1,2021
41,1686,1,1,2023
41,525,2,2,2023
41,347,1,1,2021
41,665,1,1,2019
43,1316,8,8,2023
43,1293,9,9,2023
43,84,9,9,2023
1293,84,2,2,2023
43,598,2,2,2023
813,598,4,4,2023
43,414,7,7,2023
1316,1293,3,3,2023
43,787,2,2,2023
43,19,2,2,2022
414,19,1,1,2022
84,1316,1,1,2022
43,1171,3,3,2022
84,1171,1,1,2022
1316,1171,1,1,2022
1293,414,1,1,2021
43,253,1,1,2019
44,48,11,11,2023
44,617,1,1,2020
44,903,1,1,2018
48,903,1,1,2018
45,121,1,1,2020
47,92,1,1,2023
47,24,2,2,2021
47,860,3,3,2020
47,42,2,2,2020
11,42,1,1,2020
47,121,7,7,2021
47,26,1,1,2019
50,93,3,3,2021
51,909,1,1,2023
51,276,4,4,2022
51,837,1,1,2022
51,415,1,1,2021
51,15,1,1,2020
51,193,1,1,2019
51,311,1,1,2019
51,54,2,2,2019
51,230,1,1,2018
51,446,1,1,2018
51,1105,1,1,2018
54,1105,4,4,2020
53,80,1,1,2023
53,1203,1,1,2023
54,745,6,6,2022
54,255,6,6,2021
54,1172,1,1,2021
54,230,9,9,2022
1105,230,2,2,2020
54,477,1,1,2019
54,276,1,1,2019
54,136,2,2,2019
54,909,2,2,2019
909,230,3,3,2019
54,47,1,1,2018
1105,255,3,3,2020
55,99,4,4,2021
56,909,2,2,2020
57,1845,2,2,2023
57,464,1,1,2021
57,236,1,1,2021
57,114,1,1,2020
60,1488,8,8,2021
60,120,5,5,2021
1488,120,2,2,2021
61,1542,1,1,2023
61,123,1,1,2020
61,192,1,1,2019
62,243,1,1,2021
62,1049,1,1,2021
243,1049,1,1,2021
63,1079,3,3,2023
63,128,1,1,2022
63,1210,1,1,2018
66,224,1,1,2022
66,31,2,2,2022
66,175,6,6,2022
66,945,1,1,2022
66,289,3,3,2022
66,1,1,1,2019
66,483,1,1,2018
483,13,7,7,2022
67,181,1,1,2018
71,109,8,8,2022
71,695,1,1,2022
71,829,4,4,2021
71,159,2,2,2018
71,135,2,2,2018
71,114,1,1,2018
73,1175,1,1,2023
73,1295,2,2,2023
73,513,1,1,2022
73,9,3,3,2022
73,305,7,7,2021
73,71,1,1,2021
73,168,1,1,2021
73,143,1,1,2021
168,143,7,7,2022
73,86,5,5,2020
73,114,1,1,2019
75,347,5,5,2023
75,520,3,3,2021
76,1010,1,1,2021
76,963,1,1,2020
76,150,1,1,2020
963,150,2,2,2020
76,373,1,1,2018
77,62,1,1,2021
79,476,3,3,2023
79,339,1,1,2021
80,120,1,1,2023
80,73,1,1,2023
80,19,1,1,2023
80,108,2,2,2023
80,310,1,1,2022
80,1514,1,1,2020
81,101,1,1,2021
81,286,1,1,2019
82,265,2,2,2023
82,137,2,2,2022
82,413,1,1,2021
82,14,1,1,2021
413,14,3,3,2021
82,123,2,2,2020
82,1386,1,1,2020
82,170,2,2,2020
1386,170,11,11,2022
82,468,1,1,2019
265,468,1,1,2019
84,135,1,1,2023
84,1371,1,1,2022
84,216,3,3,2022
84,418,1,1,2022
84,21,1,1,2022
84,518,3,3,2021
84,94,2,2,2020
84,525,1,1,2018
85,439,1,1,2023
85,901,2,2,2019
86,120,1,1,2021
86,150,1,1,2019
86,27,1,1,2018
87,483,1,1,2022
87,584,1,1,2022
87,44,1,1,2021
87,535,1,1,2020
88,721,3,3,2022
88,503,14,14,2022
88,479,4,4,2022
503,479,17,17,2022
89,30,1,1,2023
89,377,2,2,2023
89,41,1,1,2020
91,496,1,1,2019
92,719,2,2,2023
92,87,2,2,2021
92,28,1,1,2019
93,140,2,2,2021
93,120,3,3,2020
93,1902,1,1,2019
93,107,1,1,2018
94,93,1,1,2023
94,904,9,9,2022
94,140,5,5,2022
94,75,2,2,2022
94,1984,2,2,2021
94,224,3,3,2021
94,1614,2,2,2021
1614,1984,1,1,2021
224,75,1,1,2020
94,602,1,1,2020
94,727,2,2,2019
95,483,2,2,2022
95,162,7,7,2020
95,482,1,1,2020
98,324,5,5,2023
98,612,1,1,2022
98,267,1,1,2022
98,472,2,2,2021
99,150,4,4,2022
102,137,2,2,2023
102,1362,1,1,2023
137,1362,1,1,2023
102,913,1,1,2023
913,137,2,2,2023
102,300,1,1,2022
104,322,2,2,2023
105,694,2,2,2023
105,498,1,1,2022
105,740,1,1,2018
107,15,2,2,2022
107,829,1,1,2020
107,1727,1,1,2020
107,490,1,1,2020
107,65,1,1,2019
107,109,1,1,2018
108,1190,3,3,2023
108,1932,1,1,2020
108,242,1,1,2019
108,1774,1,1,2019
109,962,1,1,2023
109,1996,1,1,2019
114,695,4,4,2021
114,135,1,1,2018
115,809,1,1,2018
118,229,21,21,2023
118,102,1,1,2023
118,961,1,1,2023
118,4,1,1,2023
118,150,2,2,2023
118,428,3,3,2022
229,428,1,1,2022
118,16,1,1,2019
16,428,1,1,2019
16,229,1,1,2019
119,207,2,2,2022
119,304,1,1,2020
119,659,1,1,2020
304,659,11,11,2023
119,73,1,1,2018
120,565,3,3,2023
120,836,1,1,2023
120,279,1,1,2023
120,135,1,1,2023
565,135,1,1,2023
120,241,1,1,2021
120,413,1,1,2020
120,711,2,2,2019
120,536,1,1,2018
121,16,3,3,2023
121,860,1,1,2022
121,20,1,1,2020
121,470,2,2,2018
121,71,1,1,2018
122,265,4,4,2023
122,427,3,3,2023
265,427,1,1,2023
122,820,3,3,2023
122,1259,2,2,2023
1259,1,5,5,2023
122,1771,1,1,2022
122,35,2,2,2022
122,1560,1,1,2021
122,236,1,1,2020
122,2,1,1,2019
122,4,1,1,2019
122,57,1,1,2018
123,1611,1,1,2023
123,150,1,1,2023
1611,150,7,7,2023
123,640,3,3,2020
124,752,1,1,2021
124,385,1,1,2020
125,724,1,1,2019
125,93,2,2,2018
127,475,2,2,2022
127,43,4,4,2019
128,483,21,21,2023
128,886,7,7,2023
886,483,2,2,2023
128,321,2,2,2023
128,1362,7,7,2022
128,261,10,10,2022
483,261,4,4,2022
128,43,2,2,2022
128,551,1,1,2022
551,483,3,3,2022
128,199,1,1,2022
128,25,2,2,2021
128,805,6,6,2021
886,805,2,2,2021
128,80,2,2,2022
483,80,1,1,2020
805,1362,4,4,2021
805,483,2,2,2020
483,1362,2,2,2019
261,1362,1,1,2018
130,106,1,1,2018
131,714,1,1,2021
133,995,8,8,2023
133,219,1,1,2023
995,219,2,2,2023
133,197,1,1,2022
133,905,2,2,2019
133,497,3,3,2018
133,483,2,2,2018
497,483,2,2,2018
497,995,9,9,2023
135,40,2,2,2023
135,159,1,1,2023
135,241,3,3,2023
135,16,1,1,2022
135,1185,1,1,2022
135,43,2,2,2021
136,385,2,2,2023
136,405,3,3,2023
385,405,6,6,2023
136,1259,1,1,2023
136,106,1,1,2022
136,358,5,5,2021
136,209,3,3,2020
136,860,1,1,2020
136,230,1,1,2019
136,47,4,4,2018
137,371,5,5,2023
137,122,1,1,2022
137,96,1,1,2021
137,26,1,1,2021
140,2,1,1,2023
140,536,2,2,2023
140,323,1,1,2023
536,323,1,1,2023
140,1262,1,1,2021
140,241,1,1,2020
140,904,1,1,2020
140,159,2,2,2019
140,761,1,1,2019
140,87,2,2,2019
140,901,1,1,2019
140,829,1,1,2018
140,357,1,1,2018
93,357,1,1,2018
140,352,1,1,2018
142,622,1,1,2021
142,25,3,3,2020
142,369,1,1,2019
143,290,1,1,2021
168,290,2,2,2022
145,774,1,1,2019
146,483,4,4,2022
1476,483,4,4,2022
146,47,1,1,2018
147,940,2,2,2022
147,375,1,1,2020
147,93,1,1,2020
375,93,1,1,2020
940,30,1,1,2018
149,1288,1,1,2021
149,548,1,1,2021
150,809,1,1,2022
150,35,1,1,2022
150,1183,3,3,2022
150,219,1,1,2022
150,964,1,1,2022
150,137,1,1,2019
150,950,2,2,2019
150,227,3,3,2019
1611,99,1,1,2019
150,554,1,1,2018
150,1753,2,2,2018
152,699,1,1,2022
152,1079,1,1,2021
153,152,1,1,2022
154,438,16,16,2023
154,1559,10,10,2022
438,1559,1,1,2022
154,965,3,3,2022
438,965,1,1,2022
1559,965,1,1,2022
154,1346,8,8,2022
438,1346,5,5,2022
1346,1559,2,2,2019
155,19,1,1,2021
155,1013,1,1,2020
