Source,Target,weight
118,1615,1
119,207,2
119,304,1
119,659,1
304,659,11
119,73,1
120,565,3
120,836,1
120,279,1
836,279,2
120,356,2
836,356,6
279,356,2
120,135,1
565,135,1
120,241,1
120,413,1
120,711,2
120,536,1
121,16,3
121,860,1
121,20,1
121,470,2
121,71,1
122,265,4
122,427,3
265,427,1
122,820,3
122,1259,2
1259,1,5
122,1771,1
122,35,2
122,1560,1
122,236,1
122,1492,1
122,2,1
122,4,1
122,57,1
123,1319,1
123,1995,1
123,1611,1
123,150,1
1611,150,7
123,640,3
124,1738,3
124,752,1
124,385,1
125,724,1
125,93,2
126,1092,3
127,475,2
127,43,4
128,483,21
128,886,7
886,483,2
128,321,2
128,1362,7
128,261,10
483,261,4
128,43,2
128,551,1
551,483,3
128,199,1
128,25,2
128,805,6
886,805,2
128,80,2
483,80,1
805,1362,4
805,483,2
483,1362,2
261,1362,1
128,1148,1
1148,805,1
1148,1362,1
130,1876,3
130,106,1
131,714,1
133,995,8
133,219,1
995,219,2
133,1557,2
133,197,1
133,905,2
133,497,3
133,483,2
497,483,2
497,995,9
135,40,2
135,159,1
135,241,3
135,16,1
135,1185,1
135,43,2
136,385,2
136,405,3
385,405,6
136,1259,1
136,106,1
136,358,5
136,209,3
136,860,1
136,230,1
136,47,4
137,371,5
137,122,1
137,96,1
137,26,1
140,2,1
140,536,2
140,323,1
536,323,1
140,1989,2
140,1262,1
140,241,1
140,904,1
140,159,2
140,761,1
140,87,2
140,901,1
140,829,1
140,357,1
93,357,1
140,352,1
142,622,1
142,25,3
142,369,1
143,290,1
168,290,2
145,1038,2
145,774,1
146,483,4
1476,483,4
146,47,1
147,940,2
147,375,1
147,93,1
375,93,1
940,30,1
149,1288,1
149,548,1
150,809,1
150,35,1
150,1183,3
150,219,1
150,964,1
150,137,1
150,950,2
150,227,3
1611,99,1
150,554,1
150,1753,2
152,699,1
152,1079,1
153,152,1
154,438,16
154,1559,10
438,1559,1
154,965,3
438,965,1
1559,965,1
154,1346,8
438,1346,5
1346,1559,2
155,19,1
155,1013,1
155,174,5
155,522,1
174,522,1
156,1041,5
156,140,1
156,366,2
159,28,1
159,1351,2
159,246,1
162,170,2
163,627,1
164,124,3
165,479,1
165,1235,1
165,593,1
165,1731,1
166,609,14
167,1113,2
167,307,4
1113,307,6
170,263,4
1386,263,5
170,569,5
1386,569,4
263,569,18
170,639,2
1386,639,2
173,1389,3
173,847,7
174,189,2
174,817,1
177,484,2
177,179,1
178,449,1
178,335,1
449,335,1
178,439,1
449,439,1
335,439,1
178,81,2
449,81,1
335,81,1
439,81,1
179,653,2
180,278,1
180,42,1
181,243,9
181,34,13
243,34,12
181,1049,1
181,62,2
181,307,1
307,243,1
181,77,2
243,77,3
183,1739,6
184,1412,1
186,922,8
186,539,1
186,672,1
186,699,2
186,892,1
186,152,2
187,353,4
187,51,1
51,353,1
188,919,2
189,227,2
189,38,1
227,38,2
189,31,1
38,31,2
189,150,1
192,47,1
193,349,1
195,557,4
195,701,1
197,1482,1
197,1433,1
199,636,1
200,460,2
200,1488,2
201,418,1
203,321,4
203,1190,1
204,64,1
205,1855,4
205,195,1
205,1585,1
195,1585,1
207,482,1
207,731,2
209,230,1
209,358,1
210,1873,1
210,1078,3
211,1187,1
211,1074,2
211,290,3
211,657,1
290,657,1
211,1793,1
213,1491,2
214,274,2
215,815,1
215,250,1
216,60,1
216,217,1
217,2,3
217,245,1
217,124,2
217,41,4
217,84,1
219,719,3
219,255,1
219,1107,1
221,128,2
221,1025,2
221,531,1
221,234,1
224,549,13
224,775,5
224,347,13
224,836,7
347,836,2
224,1053,6
31,549,1
549,347,4
549,775,1
347,775,1
31,836,1
224,346,2
549,346,2
31,775,1
224,372,1
31,372,1
775,372,1
224,1344,2
549,1344,2
224,904,1
94,347,2
836,94,1
225,241,1
225,2,1
225,19,1
226,418,3
226,1251,4
227,86,1
227,1175,2
227,224,2
227,24,73
227,1488,3
227,396,1
227,43,4
43,31,1
31,150,1
227,863,1
863,31,3
227,1843,1
1488,1843,1
229,408,1
229,1974,5
230,255,2
255,39,1
230,1170,2
1170,255,1
230,1688,1
1170,1688,1
11,446,1
230,1537,4
39,1537,2
11,1537,1
446,1537,1
1537,54,12
136,39,1
136,1537,1
230,702,1
230,1210,1
232,614,3
232,1217,1
232,214,1
614,214,1
232,1812,2
233,305,1
233,22,1
234,1258,1
234,531,1
235,809,7
235,469,1
235,844,3
235,889,1
236,464,1
236,820,8
236,468,3
236,1771,1
236,594,2
820,594,2
236,1095,1
237,1510,13
237,1860,1
1510,1860,1
237,351,2
237,1109,16
1109,1510,2
238,244,3
239,1103,2
239,47,1
239,860,1
240,1160,2
240,894,2
241,1338,1
241,535,1
241,35,3
535,35,3
241,64,5
243,630,1
630,181,1
630,62,1
630,77,1
245,1130,2
247,84,1
248,66,1
248,57,2
251,594,1
251,1500,1
252,647,1
255,1055,2
255,1311,1
255,1210,3
255,1738,1
255,121,1
255,1651,1
121,1651,1
255,693,1
121,693,1
1651,693,1
256,73,2
257,772,5
257,418,2
258,321,1
258,646,3
258,1404,1
258,292,1
258,203,2
260,400,1
261,460,3
128,460,1
262,617,2
262,581,1
262,1213,1
581,1213,8
262,44,1
262,702,1
262,230,1
263,1665,2
569,1665,2
170,1665,1
1665,1386,1
569,569,1
264,1262,1
265,1054,1
265,408,2
265,541,1
265,1996,2
265,757,2
1996,757,2
265,1021,1
269,104,1
270,593,2
270,101,1
271,744,14
271,585,4
271,798,1
798,744,1
744,585,3
274,1547,1
274,180,6
275,966,5
275,1142,9
275,388,2
276,128,1
276,602,1
128,602,1
276,745,2
276,1015,1
745,1015,1
278,1172,2
278,1614,2
278,1277,1
278,405,1
278,1385,1
280,224,4
280,203,1
280,321,1
281,172,2
284,1620,1
284,518,5
284,814,2
284,1290,1
284,215,1
284,104,1
284,1496,1
284,1287,1
285,1392,1
285,797,3
286,439,1
287,1558,2
288,473,1
288,1878,1
288,471,1
289,1531,12
289,1967,1
290,11,1
290,291,1
