Source,Target,weight
76,373,1.0
77,62,1.0
78,1500,0.5
79,847,1.5
79,1041,1.5
79,476,1.5
79,339,0.5
80,120,0.5
80,73,0.5
80,19,0.5
80,108,2.0
80,310,0.5
80,1514,0.5
81,1391,1.0
81,101,0.5
81,286,0.5
82,265,1.0
82,137,1.0
82,413,0.5
82,14,0.5
413,14,1.5
82,123,1.0
82,1386,0.5
82,170,1.0
1386,170,6.5
82,468,0.5
265,468,0.5
84,135,0.5
84,1371,0.5
84,216,2.5
84,418,0.5
84,21,0.5
84,518,1.5
84,94,1.0
84,525,0.5
85,439,0.5
85,901,2.0
86,120,0.5
86,150,0.5
86,27,0.5
87,483,0.5
87,584,0.5
87,44,0.5
87,535,0.5
88,1491,1.0
88,721,1.5
88,503,7.0
88,479,2.5
503,479,10.5
89,30,0.5
89,377,1.0
89,41,0.5
91,496,0.5
92,719,1.0
92,87,1.0
92,28,0.5
93,140,1.5
93,120,2.5
93,1781,1.5
93,1902,1.0
93,107,0.5
94,93,0.5
94,904,5.0
94,140,3.5
94,75,1.0
94,1106,1.0
94,1984,1.0
94,224,1.5
94,1614,1.0
1614,1984,0.5
224,75,0.5
94,602,0.5
94,727,1.0
95,483,1.0
95,162,3.5
95,482,0.5
98,831,0.5
98,324,3.0
98,612,0.5
98,267,0.5
98,472,1.0
99,150,2.0
99,1792,0.5
102,137,1.0
102,1362,0.5
137,1362,0.5
102,913,0.5
913,137,1.0
102,1349,0.5
102,300,0.5
102,1953,0.5
104,322,1.0
104,1279,0.5
105,694,1.0
105,498,0.5
105,1894,0.5
105,740,1.0
107,15,1.0
107,829,0.5
107,1727,1.0
107,490,0.5
107,65,0.5
107,109,0.5
108,1190,1.5
108,1932,1.0
108,242,1.0
108,1774,0.5
109,962,0.5
109,1996,0.5
113,1934,0.5
114,695,3.5
114,135,0.5
115,809,0.5
118,229,12.0
118,102,0.5
118,1987,0.5
118,961,0.5
118,4,0.5
118,150,1.0
118,428,1.5
229,428,0.5
118,16,0.5
16,428,0.5
16,229,0.5
118,1615,0.5
119,207,1.0
119,304,0.5
119,659,0.5
304,659,6.5
119,73,0.5
120,565,1.5
120,836,1.0
120,279,0.5
836,279,1.0
120,356,1.0
836,356,3.0
279,356,1.0
120,135,0.5
565,135,0.5
120,241,0.5
120,413,0.5
120,711,1.0
120,536,0.5
121,16,1.5
121,860,0.5
121,20,0.5
121,470,1.0
121,71,0.5
122,265,2.0
122,427,1.5
265,427,0.5
122,820,1.5
122,1259,1.0
1259,1,2.5
122,1771,0.5
122,35,2.0
122,1560,0.5
122,236,0.5
122,1492,0.5
122,2,0.5
122,4,0.5
122,57,0.5
123,1319,0.5
123,1995,1.0
123,1611,0.5
123,150,0.5
1611,150,3.5
123,640,1.5
124,1738,1.5
124,752,1.0
124,385,0.5
125,724,0.5
125,93,1.0
126,1092,1.5
127,475,1.0
127,43,2.0
128,483,11.5
128,886,5.0
886,483,1.0
128,321,1.0
128,1362,4.0
128,261,5.0
483,261,2.0
128,43,1.0
128,551,1.0
551,483,1.5
128,199,0.5
128,25,1.0
128,805,3.0
886,805,1.0
128,80,1.0
483,80,0.5
805,1362,2.0
805,483,1.0
483,1362,1.5
261,1362,0.5
128,1148,0.5
1148,805,0.5
1148,1362,0.5
130,1876,1.5
130,106,0.5
131,714,0.5
133,995,4.0
133,219,0.5
995,219,1.0
133,1557,2.0
133,197,1.0
133,905,1.0
133,497,2.0
133,483,1.0
497,483,1.0
497,995,4.5
135,40,1.0
135,159,0.5
135,241,1.5
135,16,0.5
135,1185,0.5
135,43,2.0
136,385,1.0
136,405,1.5
385,405,3.0
136,1259,1.0
136,106,0.5
136,358,2.5
136,209,1.5
136,860,0.5
136,230,0.5
136,47,2.0
137,371,2.5
137,122,0.5
137,96,0.5
137,26,0.5
140,2,0.5
140,536,1.0
140,323,0.5
536,323,0.5
140,1989,1.0
140,1262,0.5
140,241,0.5
140,904,0.5
140,159,1.0
140,761,0.5
140,87,1.0
140,901,0.5
140,829,0.5
140,357,0.5
93,357,0.5
140,352,0.5
142,622,0.5
142,25,1.5
142,369,0.5
143,290,0.5
168,290,1.5
145,1038,1.5
145,774,1.0
146,483,2.0
1476,483,2.0
146,47,0.5
147,940,1.0
147,375,0.5
147,93,0.5
375,93,0.5
940,30,0.5
149,1288,0.5
149,548,0.5
150,809,0.5
150,35,0.5
150,1183,1.5
150,219,0.5
150,964,1.0
150,137,0.5
150,950,1.0
150,227,1.5
1611,99,0.5
150,554,0.5
150,1753,2.0
152,699,0.5
152,1079,0.5
153,152,0.5
154,438,8.0
154,1559,5.0
438,1559,0.5
154,965,1.5
438,965,0.5
1559,965,0.5
154,1346,4.0
438,1346,2.5
1346,1559,1.0
155,19,0.5
155,1013,0.5
155,174,2.5
