Source,Target,weight
92,87,2021
92,28,2019
93,140,2021
93,120,2020
93,1781,2019
93,1902,2019
93,107,2018
94,93,2023
94,904,2022
94,140,2022
94,75,2022
94,1106,2022
94,1984,2021
94,224,2021
94,1614,2021
1614,1984,2021
224,75,2020
94,602,2020
94,727,2019
95,483,2022
95,162,2020
95,482,2020
98,831,2024
98,324,2023
98,612,2022
98,267,2022
98,472,2021
99,150,2022
99,1792,2020
102,137,2023
102,1362,2023
137,1362,2023
102,913,2023
913,137,2023
102,1349,2023
102,300,2022
102,1953,2021
104,322,2023
104,1279,2020
105,694,2023
105,498,2022
105,1894,2018
105,740,2018
107,15,2022
107,829,2020
107,1727,2020
107,490,2020
107,65,2019
107,109,2018
108,1190,2023
108,1932,2020
108,242,2019
108,1774,2019
109,962,2023
109,1996,2019
113,1934,2023
114,695,2021
114,135,2018
115,809,2018
118,229,2023
118,102,2023
118,1987,2023
118,961,2023
118,4,2023
118,150,2023
118,428,2022
229,428,2022
118,16,2019
16,428,2019
16,229,2019
118,1615,2018
119,207,2022
119,304,2020
119,659,2020
304,659,2023
119,73,2018
120,565,2023
120,836,2023
120,279,2023
836,279,2024
120,356,2024
836,356,2024
279,356,2024
120,135,2023
565,135,2023
120,241,2021
120,413,2020
120,711,2019
120,536,2018
121,16,2023
121,860,2022
121,20,2020
121,470,2018
121,71,2018
122,265,2023
122,427,2023
265,427,2023
122,820,2023
122,1259,2023
1259,1,2023
122,1771,2022
122,35,2022
122,1560,2021
122,236,2020
122,1492,2020
122,2,2019
122,4,2019
122,57,2018
123,1319,2023
123,1995,2023
123,1611,2023
123,150,2023
1611,150,2023
123,640,2020
124,1738,2023
124,752,2021
124,385,2020
125,724,2019
125,93,2018
126,1092,2022
127,475,2022
127,43,2019
128,483,2023
128,886,2023
886,483,2023
128,321,2023
128,1362,2022
128,261,2022
483,261,2022
128,43,2022
128,551,2022
551,483,2022
128,199,2022
128,25,2021
128,805,2021
886,805,2021
128,80,2022
483,80,2020
805,1362,2021
805,483,2020
483,1362,2019
261,1362,2018
128,1148,2018
1148,805,2018
1148,1362,2018
130,1876,2020
130,106,2018
131,714,2021
133,995,2023
133,219,2023
995,219,2023
133,1557,2023
133,197,2022
133,905,2019
133,497,2018
133,483,2018
497,483,2018
497,995,2023
135,40,2023
135,159,2023
135,241,2023
135,16,2022
135,1185,2022
135,43,2021
136,385,2023
136,405,2023
385,405,2023
136,1259,2023
136,106,2022
136,358,2021
136,209,2020
136,860,2020
136,230,2019
136,47,2018
137,371,2023
137,122,2022
137,96,2021
137,26,2021
140,2,2023
140,536,2023
140,323,2023
536,323,2023
140,1989,2023
140,1262,2021
140,241,2020
140,904,2020
140,159,2019
140,761,2019
140,87,2019
140,901,2019
140,829,2018
140,357,2018
93,357,2018
140,352,2018
142,622,2021
142,25,2020
142,369,2019
143,290,2021
168,290,2022
145,1038,2022
145,774,2019
146,483,2022
1476,483,2022
146,47,2018
147,940,2022
147,375,2020
147,93,2020
375,93,2020
940,30,2018
149,1288,2021
149,548,2021
150,809,2022
150,35,2022
150,1183,2022
150,219,2022
150,964,2022
150,137,2019
150,950,2019
150,227,2019
1611,99,2019
150,554,2018
150,1753,2018
152,699,2022
152,1079,2021
153,152,2022
154,438,2023
154,1559,2022
438,1559,2022
154,965,2022
438,965,2022
1559,965,2022
154,1346,2022
438,1346,2022
1346,1559,2019
155,19,2021
155,1013,2020
155,174,2020
155,522,2019
174,522,2019
156,1041,2023
156,140,2021
156,366,2019
159,28,2023
159,1351,2020
159,246,2019
