Source,Target,weight
118,1615,1
119,207,1
119,304,1
119,659,1
304,659,1
119,73,1
120,565,1
120,836,1
120,279,1
836,279,1
120,356,1
836,356,1
279,356,1
120,135,1
565,135,1
120,241,1
120,413,1
120,711,1
120,536,1
121,16,1
121,860,1
121,20,1
121,470,1
121,71,1
122,265,1
122,427,1
265,427,1
122,820,1
122,1259,1
1259,1,1
122,1771,1
122,35,1
122,1560,1
122,236,1
122,1492,1
122,2,1
122,4,1
122,57,1
123,1319,1
123,1995,1
123,1611,1
123,150,1
1611,150,1
123,640,1
124,1738,1
124,752,1
124,385,1
125,724,1
125,93,1
126,1092,1
127,475,1
127,43,1
128,483,1
128,886,1
886,483,1
128,321,1
128,1362,1
128,261,1
483,261,1
128,43,1
128,551,1
551,483,1
128,199,1
128,25,1
128,805,1
886,805,1
128,80,1
483,80,1
805,1362,1
805,483,1
483,1362,1
261,1362,1
128,1148,1
1148,805,1
1148,1362,1
130,1876,1
130,106,1
131,714,1
133,995,1
133,219,1
995,219,1
133,1557,1
133,197,1
133,905,1
133,497,1
133,483,1
497,483,1
497,995,1
135,40,1
135,159,1
135,241,1
135,16,1
135,1185,1
135,43,1
136,385,1
136,405,1
385,405,1
136,1259,1
136,106,1
136,358,1
136,209,1
136,860,1
136,230,1
136,47,1
137,371,1
137,122,1
137,96,1
137,26,1
140,2,1
140,536,1
140,323,1
536,323,1
140,1989,1
140,1262,1
140,241,1
140,904,1
140,159,1
140,761,1
140,87,1
140,901,1
140,829,1
140,357,1
93,357,1
140,352,1
142,622,1
142,25,1
142,369,1
143,290,1
168,290,1
145,1038,1
145,774,1
146,483,1
1476,483,1
146,47,1
147,940,1
147,375,1
147,93,1
375,93,1
940,30,1
149,1288,1
149,548,1
150,809,1
150,35,1
150,1183,1
150,219,1
150,964,1
150,137,1
150,950,1
150,227,1
1611,99,1
150,554,1
150,1753,1
152,699,1
152,1079,1
153,152,1
154,438,1
154,1559,1
438,1559,1
154,965,1
438,965,1
1559,965,1
154,1346,1
438,1346,1
1346,1559,1
155,19,1
155,1013,1
155,174,1
155,522,1
174,522,1
156,1041,1
156,140,1
156,366,1
159,28,1
159,1351,1
159,246,1
162,170,1
163,627,1
164,124,1
165,479,1
165,1235,1
165,593,1
165,1731,1
166,609,1
167,1113,1
167,307,1
1113,307,1
170,263,1
1386,263,1
170,569,1
1386,569,1
263,569,1
170,639,1
1386,639,1
173,1389,1
173,847,1
174,189,1
174,817,1
177,484,1
177,179,1
178,449,1
178,335,1
449,335,1
178,439,1
449,439,1
335,439,1
178,81,1
449,81,1
335,81,1
439,81,1
179,653,1
180,278,1
180,42,1
181,243,1
181,34,1
243,34,1
181,1049,1
181,62,1
181,307,1
307,243,1
181,77,1
243,77,1
183,1739,1
184,1412,1
186,922,1
186,539,1
186,672,1
186,699,1
186,892,1
186,152,1
187,353,1
187,51,1
51,353,1
188,919,1
189,227,1
189,38,1
227,38,1
189,31,1
38,31,1
189,150,1
192,47,1
193,349,1
195,557,1
195,701,1
197,1482,1
197,1433,1
199,636,1
200,460,1
200,1488,1
201,418,1
203,321,1
203,1190,1
204,64,1
205,1855,1
205,195,1
205,1585,1
195,1585,1
207,482,1
207,731,1
209,230,1
209,358,1
210,1873,1
210,1078,1
211,1187,1
211,1074,1
211,290,1
211,657,1
290,657,1
