Id,Label,authid,TopRank,University,Country,pub_2023,pub_cit_2023,tot_citations,curYear_citations,prevYear_citations,tourism,tourism_marketing,tourism_management,tourism_economics,destination_marketing,Hotel_and_Tourism_management,tourist_behavior,tourism_impacts,sustainable_tourism
677,Yalcin Arslanturk,677,1,Ankara Hacı Bayram Veli University,,5,0,1820,165,226,1,0,0,1,0,0,0,0,0
678,"Dr. Argyo Demartoto, M.Si",678,1,"Department of Sociology, Faculty of Social and Political Science, Universitas Sebelas Maret",,25,2,1819,229,312,1,0,0,0,0,0,0,0,0
679,"Davis, KC Fong",679,1,"Associate Professor of Faculty of Business Administration, University of Macau",,0,0,1806,157,230,1,0,0,0,0,0,0,0,0
680,Hyeon-Mo Jeon,680,1,Dongguk University-Gyeongju,,7,1,1806,412,445,1,0,0,0,0,0,0,0,0
681,"Mary Cawley, BA, MA, PhD",681,1,University of Galway/Adjunct Professor SEMRU/Senior Lecturer Emerita Geography,,1,6,1805,88,127,1,0,0,0,0,0,0,0,0
682,Hary Hermawan,682,1,Sekolah Tinggi Pariwisata AMPTA Yogyakarta,,3,0,1803,349,473,1,0,1,0,0,0,0,0,0
683,"Ahmet Tayfun (Professor, PhD)",683,1,Ankara Hacı Bayram Veli Üniversitesi,,2,1,1798,88,171,1,0,0,1,0,0,0,0,0
684,Diego A. Barrado-Timón,684,1,"Associate Professor of Human Geography, Universidad Autónoma de Madrid",,2,0,1798,105,162,1,0,0,0,0,0,0,0,0
685,Carmen Díaz-Fernández,685,1,"Associate Professor, Department Business and Administration, University of Seville",,2,1,1794,253,275,1,0,0,0,0,0,0,0,0
686,Juan A. García,686,1,"University of Castilla-La Mancha, Spain",,3,5,1789,184,298,1,0,0,0,0,0,0,0,0
687,Marta Laguna,687,1,Universidad de Valladolid,,0,0,1787,155,231,1,1,0,0,0,0,0,0,0
688,Mia Larson,688,1,Karlstad University,,4,0,1782,85,132,1,0,0,0,0,0,0,0,0
689,Isabelle D Wolf,689,1,"University of Wollongong, Senior Research Fellow",,13,13,1777,341,344,1,0,1,0,0,0,0,0,0
690,Andrew Jenkins,690,1,"Principal Lecturer, The Business School, The University of Huddersfield",,0,0,1777,64,104,1,0,0,0,0,0,0,0,0
691,Chung-Shing (Johnson) Chan,691,1,"Department of Geography and Resource Management, The Chinese University of Hong …",,6,26,1774,402,461,1,0,0,0,0,0,0,0,1
692,Zahed Ghaderi (PhD),692,1,"Department of Tourism, College of Arts and Social Sciences, Sultan Qaboos University",,21,109,1773,393,383,1,0,0,0,0,0,0,0,1
693,Paul A. Whitelaw (PhD),693,1,Southern Cross University,,0,0,1771,126,158,1,0,0,0,0,0,0,0,0
694,Tien-Ming Cheng,694,1,National Chiayi University,,3,4,1762,288,353,1,0,1,0,0,0,1,0,1
695,Dr. Dai-In Danny Han,695,1,"Breda University of Applied Sciences, Zuyd University of Applied Sciences",,7,2,1762,494,465,1,0,0,0,0,0,0,0,0
696,"Tembi Tichaawa, PhD",696,1,"Full Professor and Head of Department : Tourism, University of Johannesburg",,10,20,1761,353,418,1,0,0,0,0,0,0,0,0
697,JOSEP MARIA RAYA,697,1,Catedràtic D'Economia aplicada al Tecnocampus-Universitat Pompeu Fabra,,1,1,1748,159,226,1,0,0,1,0,0,0,0,0
698,"Steinbrink, Malte",698,1,Geographie; Universität Passau; University of Johannesburg,,3,1,1747,93,191,1,0,0,0,0,0,0,0,0
699,Wayne W. Smith,699,1,Toronto Metropolitan University (formerly Ryerson University) - Ted Rogers School of …,,3,0,1743,140,231,1,0,0,0,0,0,0,0,0
700,Zuzana Tučková,700,1,TBU Zlin,,5,0,1729,426,482,1,0,0,0,0,0,0,0,0
701,Nigel Halpern,701,1,Kristiania University College,,2,10,1725,215,241,1,0,0,0,0,0,0,0,0
702,Pascal Scherrer,702,1,"Faculty of Business, Law and Arts, Southern Cross University",,2,3,1725,192,227,1,0,0,0,0,0,0,0,0
703,Keir Reeves,703,1,"Professor and Centre Co-Director, Federation University Australia",,1,36,1724,137,164,1,0,0,0,0,0,0,0,0
704,Jordi Nofre,704,1,"FCT Associate Research Professor, CICS.Nova, NOVA University of Lisbon",,7,15,1722,258,285,1,0,0,0,0,0,0,0,0
705,Kristen K. Swanson,705,1,"Professor, School of Communication, Northern Arizona University",,0,0,1722,99,164,1,0,0,0,0,0,0,0,0
706,Elmarie Slabbert,706,1,"Professor of Tourism Management, North West University",,6,13,1710,198,252,1,1,0,0,0,0,0,0,0
707,Issahaku Adam,707,1,"Department of Hospitality and Tourism Management, University of Cape Coast, Ghana",,5,33,1706,412,485,1,0,0,0,0,0,0,0,1
708,V. Dao Truong,708,1,"Assistant Professor of Tourism, Universiti Brunei Darussalam (UBD); North-West University …",,5,0,1702,207,285,1,0,0,0,0,0,0,0,0
709,Laetitia Radder,709,1,"Professor of Marketing Management, Nelson Mandela University",,0,0,1701,93,163,1,0,0,0,0,0,0,0,0
710,Kalsom Kayat,710,1,Lecturer Universiti Utara Malaysia,,0,0,1701,141,206,1,0,0,0,0,0,0,0,0
711,Lina Xiong (Dr. Bear),711,1,"Associate Professor, Colorado State University",,3,6,1700,209,269,1,1,0,0,0,0,0,0,0
712,Tatsunori Hara,712,1,The University of Tokyo,,4,0,1699,59,78,1,0,0,0,0,0,0,0,0
713,John B. Gatewood,713,1,"Professor Emeritus, Department of Sociology and Anthropology, Lehigh University",,1,1,1694,41,57,1,0,0,0,0,0,0,0,0
714,Dr. Neelu Seetaram,714,1,Leeds Beckett University,,3,16,1693,254,311,1,0,0,1,0,0,0,0,0
715,Troy Lorde,715,1,"Professor of Tourism Economics | Dean, Faculty of Social Sciences, UWI Cave Hill",,0,0,1693,124,179,1,0,1,1,0,0,0,0,0
716,SUNEEL KUMAR,716,1,"Ph.D. in Tourism, Associate Professor, Department of Commerce, SBSC, University of Delhi …",,53,32,1688,322,320,1,0,0,0,0,0,0,0,0
717,Skayannis Pantoleon (Pantelis) Σκάγιαννης Παντολέων (Παντελής),717,1,"Department of Planning and Regional Development, University of Thessaly",,0,0,1680,87,134,1,0,0,0,0,0,0,0,0
718,Salvatore Bimonte,718,1,"Professor of Economics, University of Siena",,3,0,1674,163,172,1,0,0,1,0,0,0,0,0
719,Raffaele Scuderi,719,1,"Professor of Applied Economics, Kore University of Enna, Italy",,4,5,1670,189,309,1,0,0,1,0,0,0,0,0
720,Anton O. Ovcharov,720,1,Kazan Innovative University named after VG Timiryasov (IEML),,6,0,1669,53,118,1,0,0,0,0,0,0,0,0
721,Berendien Lubbe,721,1,University of Pretoria,,0,0,1665,103,133,1,0,1,0,0,0,0,0,0
722,Zeki AKINCI,722,1,"Tourism Faculty, Akdeniz University",,1,0,1662,86,143,1,0,1,0,0,0,0,0,0
723,"Berta Ferrer-Rosell, PhD",723,1,Serra Hunter Associate Professor in Marketing - University of Lleida,,4,22,1655,408,387,1,0,0,0,0,0,0,0,0
724,Juan María Hernández,724,1,University of Las Palmas de Gran Canaria (Institute TIDES and Department of Quantitative …,,9,7,1651,227,257,1,0,0,0,0,0,0,0,0
725,Oscar Hengxuan Chi,725,1,University of Florida,,1,15,1651,638,534,1,0,0,0,0,0,0,0,0
726,Vasiliki Vrana,726,1,"Professor,Department of Business Αdministration, International Hellenic University",,8,55,1650,209,203,1,0,0,0,0,0,0,0,0
727,Robert van der Veen,727,1,"Research Fellow, Oxford Brookes University",,0,0,1644,209,246,1,1,0,0,0,0,0,0,0
728,Joanne Sneddon,728,1,"Senior Lecturer, Marketing and Researcher at the Centre for Human and Cultural Values",,3,0,1643,279,355,1,0,0,0,0,0,0,0,0
729,Neda Torabi Farsani,729,1,PhD in tourism,,6,3,1636,214,282,1,0,0,0,0,0,0,0,1
730,Puiu Nistoreanu,730,1,"The Bucharest Academy of Economic Studies, Business and Tourism Faculty",,3,2,1635,147,173,1,0,0,0,0,0,0,0,0
731,José A. Folgado,731,1,Professor,,5,108,1632,377,353,1,0,1,0,0,0,0,0,0
732,YINGHUA HUANG,732,1,San Jose State University,,4,29,1630,291,320,1,0,0,0,0,0,0,0,0
733,Mondher Sahli,733,1,"Victoria University of Wellington, Wellington, New Zealand",,0,0,1619,99,158,1,0,0,1,0,0,0,0,1
734,Michael Clancy,734,1,"Professor of Politics, University of Hartford",,0,0,1619,82,95,1,0,0,0,0,0,0,0,0
735,Yvonne Daniel,735,1,"Emerita Professor of Dance and Afro-American Studies, Smith College",,0,0,1619,44,85,1,0,0,0,0,0,0,0,0
